trials.thisTrialN,trials.stepSize,trials.intensity,instructions.started,instructions.stopped,ready.keys,ready.rt,ready.started,ready.stopped,fixation.started,fixation.stopped,gabor.started,gabor.stopped,trials.response,resp.rt,resp.started,resp.stopped,participant,ori,date,expName,psychopyVersion,frameRate,
,,,26.565392800001064,None,up,9.235578199999509,26.565392800001064,None,,,,,,,,,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
0,1.0,0.9,,,,,,,35.84644909999952,36.45282980000047,36.325746399999844,36.89811010000085,1,0.3676075999992463,36.45282980000047,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
1,1.0,0.09,,,,,,,38.44353890000093,39.024987599999804,38.94074379999984,39.52335850000054,1,0.7087929999997868,39.068822200000795,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
2,1.0,0.009,,,,,,,41.02768990000004,41.60514839999996,41.521603799999866,42.09540100000049,1,0.44473240000115766,41.64909620000071,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
3,1.0,0.0009,,,,,,,43.64660709999953,44.22424850000061,44.13990310000008,44.72513400000025,0,0.16853599999922153,44.267245200000616,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
4,1.0,0.009,,,,,,,46.2387106999995,46.814011099999334,46.7313064000009,47.30322960000012,0,1.2612202999989677,46.85687250000046,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
5,1.0,0.09,,,,,,,48.831298799999786,49.40780319999976,49.32415159999982,49.90071390000048,1,0.21233489999940502,49.45134259999941,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
6,1.0,0.09,,,,,,,51.429153700000825,52.00509899999997,51.921158499999365,52.50241180000012,1,0.11781940000037139,52.0479636,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
7,0.9,0.09,,,,,,,54.02672580000035,54.610559799999464,54.5254573000002,55.098664400000416,1,0.1535371000009036,54.6537270000008,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
8,0.9,0.011330328706147504,,,,,,,56.63645390000056,57.2166713000006,57.13442419999956,57.71633819999988,1,0.3890443000000232,57.26099310000063,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
9,0.9,0.011330328706147504,,,,,,,59.23517600000014,59.8132913999998,59.7289968999994,60.30363439999928,1,0.4999384000002465,59.85624649999954,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
10,0.9,0.011330328706147504,,,,,,,61.83309130000089,62.4132069999996,62.32888430000094,62.912747899999886,1,0.3316632000005484,62.4564692999993,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
11,0.9,0.001426403873215002,,,,,,,64.43483820000074,65.01247340000009,64.92886120000003,65.50292170000102,1,0.4554801000012958,65.05605880000076,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
12,0.9,0.001426403873215002,,,,,,,67.04045840000072,67.61666519999926,67.53256180000062,68.11259249999966,1,0.46314130000064324,67.65994890000002,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
13,0.9,0.001426403873215002,,,,,,,69.64290260000053,70.21765380000033,70.13413700000092,70.71123110000008,1,0.25202559999888763,70.26110900000094,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
14,0.9,0.00017957360834719912,,,,,,,72.23142779999944,72.81000239999958,72.72617050000008,73.3019975999996,1,0.49752649999936693,72.85245450000002,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
15,0.9,0.00017957360834719912,,,,,,,74.83290189999934,75.41067870000006,75.32673650000106,75.90476219999982,1,0.29795999999987544,75.45364719999998,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
16,0.9,0.00017957360834719912,,,,,,,77.44097239999974,78.01763570000003,77.93355499999961,78.5127078000005,1,0.23863639999945008,78.06013600000006,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
17,0.9,2.2606977883586213e-05,,,,,,,80.04256460000033,80.618077000001,80.53499659999943,81.11037410000063,1,0.6079005999999936,80.66137139999955,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
18,0.9,2.2606977883586213e-05,,,,,,,82.6340440999993,83.21033110000099,83.12694519999968,83.70118759999968,1,0.4231199999994715,83.2525884000006,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
19,0.9,2.2606977883586213e-05,,,,,,,85.23335880000013,85.81352610000067,85.72929909999948,86.31019039999956,1,0.19470400000136578,85.85648120000042,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
20,0.9,2.84604989415154e-06,,,,,,,87.83150249999926,88.4114881000005,88.32755870000074,88.91159660000085,1,0.05235449999963748,88.45538099999976,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
21,0.9,2.84604989415154e-06,,,,,,,90.43668500000058,91.01675389999946,90.93277990000024,91.51105169999937,1,0.17524289999892062,91.06109579999975,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
22,0.8,2.84604989415154e-06,,,,,,,93.02888300000086,93.609947500001,93.52620390000084,94.10436560000016,0,1.767335100001219,93.65326310000091,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
23,0.8,1.795736083471991e-05,,,,,,,95.62799129999985,96.20349660000102,96.12016170000061,96.6921153000003,0,0.18925039999885485,96.24682059999941,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
24,0.8,0.00011330328706147502,,,,,,,98.23957209999935,98.8176524999999,98.73484550000103,99.31334699999934,1,0.1441451999999117,98.85996540000087,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
25,0.8,0.00011330328706147502,,,,,,,100.83565970000018,101.4116482999998,101.32838980000088,101.91054430000077,0,[],101.45550320000075,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
26,0.8,0.0007148954112518533,,,,,,,103.42812210000011,104.00381059999927,103.92032810000092,104.50192170000082,1,1.543459399999847,104.04701980000027,None,s_001,10,2020_Oct_27_1420,ContrastDetection,2020.2.4post1,60.008269139361474,
